Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
PHX,PHX @ NOP,2014-04-09,W,240,94,39,80,0.488,9,19,0.474,7,10,0.700,6,32,38,23,5,6,12,18,6
NOP,NOP vs. PHX,2014-04-09,L,240,88,34,80,0.425,6,14,0.429,14,17,0.824,8,34,42,25,6,5,14,17,-6
PHI,PHI @ TOR,2014-04-09,L,240,114,44,85,0.518,8,21,0.381,18,21,0.857,9,27,36,20,2,5,13,25,-11
TOR,TOR vs. PHI,2014-04-09,W,240,125,41,82,0.500,12,25,0.480,31,37,0.838,10,25,35,25,2,7,7,16,11
MIA,MIA @ MEM,2014-04-09,L,240,102,38,73,0.521,15,25,0.600,11,12,0.917,6,21,27,24,11,2,15,17,-5
MEM,MEM vs. MIA,2014-04-09,W,240,107,43,78,0.551,7,20,0.350,14,21,0.667,12,29,41,23,10,6,14,19,5
WAS,WAS vs. CHA,2014-04-09,L,265,88,37,82,0.451,1,15,0.067,13,20,0.650,7,38,45,23,7,9,12,15,-6
CHA,CHA @ WAS,2014-04-09,W,265,94,35,92,0.380,11,25,0.440,13,15,0.867,9,39,48,23,7,1,13,17,6
CHI,CHI @ MIN,2014-04-09,W,240,102,41,82,0.500,11,21,0.524,9,12,0.750,9,28,37,29,4,8,14,18,15
MIN,MIN vs. CHI,2014-04-09,L,240,87,34,80,0.425,4,17,0.235,15,16,0.938,11,29,40,16,5,5,14,14,-15
HOU,HOU @ DEN,2014-04-09,L,240,116,40,92,0.435,15,40,0.375,21,25,0.840,12,35,47,28,9,5,15,20,-7
DEN,DEN vs. HOU,2014-04-09,W,240,123,50,101,0.495,11,28,0.393,12,14,0.857,10,34,44,31,10,8,11,21,7
MIL,MIL vs. IND,2014-04-09,L,240,102,38,87,0.437,4,16,0.250,22,29,0.759,14,34,48,21,6,5,11,20,-2
IND,IND @ MIL,2014-04-09,W,240,104,41,85,0.482,11,24,0.458,11,19,0.579,8,33,41,26,4,5,11,24,2
BOS,BOS @ ATL,2014-04-09,L,240,97,37,84,0.440,12,26,0.462,11,14,0.786,11,28,39,25,7,3,16,22,-8
ATL,ATL vs. BOS,2014-04-09,W,240,105,40,76,0.526,9,23,0.391,16,22,0.727,8,35,43,30,7,5,16,14,8
LAC,LAC vs. OKC,2014-04-09,L,240,101,36,86,0.419,8,27,0.296,21,34,0.618,15,37,52,23,7,5,17,22,-6
OKC,OKC @ LAC,2014-04-09,W,240,107,38,90,0.422,5,21,0.238,26,32,0.813,11,33,44,18,8,8,8,24,6
ORL,ORL vs. BKN,2014-04-09,W,240,115,43,77,0.558,11,24,0.458,18,30,0.600,11,30,41,26,10,5,14,24,4
BKN,BKN @ ORL,2014-04-09,L,240,111,38,79,0.481,10,29,0.345,25,34,0.735,13,28,41,22,7,0,14,23,-4
SAC,SAC @ POR,2014-04-09,L,240,99,39,91,0.429,5,11,0.455,16,22,0.727,14,31,45,19,10,2,12,19,-1
POR,POR vs. SAC,2014-04-09,W,240,100,38,75,0.507,7,23,0.304,17,22,0.773,5,38,43,26,4,4,18,19,1
CLE,CLE vs. DET,2014-04-09,W,240,122,53,93,0.570,11,26,0.423,5,9,0.556,13,34,47,41,8,6,17,24,22
DET,DET @ CLE,2014-04-09,L,240,100,34,96,0.354,9,28,0.321,23,32,0.719,21,25,46,19,10,2,15,12,-22
OKC,OKC @ SAC,2014-04-08,W,240,107,38,80,0.475,12,22,0.545,19,27,0.704,10,29,39,23,5,4,6,23,15
SAC,SAC vs. OKC,2014-04-08,L,240,92,34,82,0.415,3,14,0.214,21,28,0.750,13,31,44,13,5,4,10,18,-15
MIN,MIN vs. SAS,2014-04-08,W,240,110,42,91,0.462,5,15,0.333,21,26,0.808,16,36,52,23,9,3,16,18,19
SAS,SAS @ MIN,2014-04-08,L,240,91,36,81,0.444,4,17,0.235,15,25,0.600,11,26,37,19,8,7,16,22,-19
UTA,UTA vs. DAL,2014-04-08,L,240,83,36,87,0.414,4,24,0.167,7,13,0.538,23,24,47,16,7,3,9,15,-12
DAL,DAL @ UTA,2014-04-08,W,240,95,40,72,0.556,9,23,0.391,6,11,0.545,6,30,36,24,3,5,10,12,12
DET,DET @ ATL,2014-04-08,W,240,102,37,86,0.430,6,17,0.353,22,32,0.688,16,37,53,14,13,4,15,20,7
ATL,ATL vs. DET,2014-04-08,L,240,95,34,89,0.382,9,35,0.257,18,24,0.750,17,31,48,26,9,5,16,23,-7
BKN,BKN @ MIA,2014-04-08,W,240,88,36,68,0.529,9,23,0.391,7,14,0.500,4,31,35,13,9,7,17,14,1
MIA,MIA vs. BKN,2014-04-08,L,240,87,33,69,0.478,7,24,0.292,14,19,0.737,6,28,34,17,9,3,13,15,-1
LAL,LAL vs. HOU,2014-04-08,L,240,130,44,95,0.463,14,32,0.438,28,35,0.800,5,28,33,38,8,7,11,20,-15
HOU,HOU @ LAL,2014-04-08,W,240,145,56,97,0.577,11,26,0.423,22,28,0.786,12,46,58,33,8,9,14,22,15
DAL,DAL @ SAC,2014-04-06,W,240,93,36,89,0.404,13,31,0.419,8,14,0.571,16,29,45,23,7,5,10,16,2
SAC,SAC vs. DAL,2014-04-06,L,240,91,36,76,0.474,5,18,0.278,14,20,0.700,6,34,40,21,6,3,13,17,-2
IND,IND vs. ATL,2014-04-06,L,240,88,32,78,0.410,5,20,0.250,19,30,0.633,10,25,35,18,9,3,11,26,-19
ATL,ATL @ IND,2014-04-06,W,240,107,41,73,0.562,12,27,0.444,13,17,0.765,5,35,40,22,4,3,16,26,19
LAC,LAC vs. LAL,2014-04-06,W,240,120,47,83,0.566,10,19,0.526,16,26,0.615,8,44,52,28,12,5,17,17,23
LAL,LAL @ LAC,2014-04-06,L,240,97,36,86,0.419,7,31,0.226,18,23,0.783,8,30,38,26,9,0,15,19,-23
