Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
ATL,2014-03-24,L,Home,PHX102-95ATL,0.417,30,72,0.348,8,23,0.818,27,33,32,7,25,18,8,3,17,19,95
SAS,2014-03-24,W,Home,PHI91-113SAS,0.557,44,79,0.481,13,27,0.750,12,16,47,6,41,31,9,4,17,17,113
DET,2014-03-24,W,Away,UTA94-114DET,0.554,46,83,0.529,9,17,0.722,13,18,53,16,37,23,6,2,13,19,114
UTA,2014-03-24,L,Home,DET114-94UTA,0.410,34,83,0.259,7,27,0.679,19,28,33,12,21,16,7,2,7,17,94
LAC,2014-03-24,W,Home,MIL98-106LAC,0.487,38,78,0.444,8,18,0.815,22,27,40,7,33,29,7,6,13,17,106
MIL,2014-03-24,L,Away,LAC106-98MIL,0.482,41,85,0.385,5,13,0.688,11,16,38,11,27,27,6,2,10,18,98
MIA,2014-03-24,W,Home,POR91-93MIA,0.440,37,84,0.333,5,15,0.609,14,23,48,13,35,16,14,4,10,24,93
POR,2014-03-24,L,Away,MIA93-91POR,0.378,28,74,0.282,11,39,0.889,24,27,44,10,34,18,6,2,15,17,91
IND,2014-03-24,L,Away,CHI89-77IND,0.370,27,73,0.400,4,10,0.905,19,21,42,6,36,11,5,4,16,21,77
CHI,2014-03-24,W,Home,IND77-89CHI,0.417,35,84,0.267,4,15,0.938,15,16,46,9,37,22,7,7,10,20,89
PHI,2014-03-24,L,Away,SAS113-91PHI,0.409,36,88,0.333,11,33,0.444,8,18,37,12,25,22,13,3,14,15,91
PHX,2014-03-24,W,Away,ATL95-102PHX,0.514,38,74,0.500,12,24,0.875,14,16,39,7,32,21,10,1,19,25,102
DAL,2014-03-25,W,Home,OKC119-128DAL,0.500,45,90,0.395,15,38,0.821,23,28,48,12,36,27,14,4,20,22,128
OKC,2014-03-25,L,Away,DAL128-119OKC,0.495,46,93,0.364,12,33,0.789,15,19,38,10,28,27,9,2,21,30,119
ORL,2014-03-25,W,Home,POR85-95ORL,0.435,37,85,0.353,6,17,0.682,15,22,50,16,34,19,10,3,14,16,95
POR,2014-03-25,L,Away,ORL95-85POR,0.372,32,86,0.269,7,26,0.824,14,17,50,16,34,17,4,4,15,14,85
TOR,2014-03-25,L,Away,CLE102-100TOR,0.398,35,88,0.438,14,32,0.615,16,26,38,13,25,30,6,3,7,24,100
LAL,2014-03-25,W,Home,NYK96-127LAL,0.578,48,83,0.643,18,28,0.867,13,15,38,8,30,32,10,2,17,23,127
NYK,2014-03-25,L,Away,LAL127-96NYK,0.486,36,74,0.267,4,15,0.741,20,27,32,8,24,23,9,4,16,16,96
CLE,2014-03-25,W,Home,TOR100-102CLE,0.514,36,70,0.308,4,13,0.788,26,33,49,10,39,27,6,9,15,22,102
NOP,2014-03-26,W,Home,LAC96-98NOP,0.422,38,90,0.250,3,12,0.760,19,25,53,17,36,24,6,9,13,20,98
LAC,2014-03-26,L,Away,NOP98-96LAC,0.413,33,80,0.433,13,30,0.607,17,28,40,12,28,25,7,9,13,21,96
CHA,2014-03-26,W,Home,BKN111-116CHA,0.500,46,92,0.381,8,21,0.696,16,23,49,15,34,27,3,1,9,16,116
BKN,2014-03-26,L,Away,CHA116-111BKN,0.482,40,83,0.459,17,37,0.875,14,16,32,3,29,29,5,4,9,25,111
PHX,2014-03-26,W,Away,WAS93-99PHX,0.493,37,75,0.500,14,28,0.917,11,12,39,6,33,22,8,4,19,18,99
WAS,2014-03-26,L,Home,PHX99-93WAS,0.457,37,81,0.316,6,19,0.619,13,21,35,7,28,21,9,1,15,13,93
SAC,2014-03-26,L,Home,NYK107-99SAC,0.478,33,69,0.353,6,17,0.771,27,35,32,8,24,19,7,2,11,18,99
NYK,2014-03-26,W,Away,SAC99-107NYK,0.548,40,73,0.577,15,26,0.923,12,13,34,7,27,25,3,4,14,30,107
MIN,2014-03-26,W,Home,ATL83-107MIN,0.500,43,86,0.409,9,22,0.750,12,16,45,7,38,31,17,1,19,14,107
ATL,2014-03-26,L,Away,MIN107-83ATL,0.378,31,82,0.250,7,28,0.875,14,16,40,6,34,21,9,2,26,16,83
UTA,2014-03-26,L,Home,MEM91-87UTA,0.464,32,69,0.313,5,16,0.692,18,26,35,6,29,22,9,4,13,14,87
MIA,2014-03-26,L,Away,IND84-83MIA,0.459,28,61,0.316,6,19,0.724,21,29,37,5,32,13,6,9,19,22,83
IND,2014-03-26,W,Home,MIA83-84IND,0.370,30,81,0.500,7,14,0.810,17,21,37,11,26,18,8,0,12,21,84
DET,2014-03-26,L,Home,CLE97-96DET,0.464,39,84,0.423,11,26,0.538,7,13,48,11,37,27,5,5,13,18,96
CLE,2014-03-26,W,Away,DET96-97CLE,0.435,37,85,0.346,9,26,0.583,14,24,45,13,32,18,3,2,10,13,97
BOS,2014-03-26,L,Home,TOR99-90BOS,0.405,32,79,0.409,9,22,0.773,17,22,36,8,28,23,8,5,10,16,90
TOR,2014-03-26,W,Away,BOS90-99TOR,0.450,36,80,0.478,11,23,0.889,16,18,48,11,37,17,4,3,17,21,99
SAS,2014-03-26,W,Home,DEN103-108SAS,0.489,43,88,0.400,8,20,0.700,14,20,43,13,30,30,11,6,21,18,108
DEN,2014-03-26,L,Away,SAS108-103DEN,0.458,38,83,0.368,7,19,0.800,20,25,43,9,34,22,13,6,18,22,103
MEM,2014-03-26,W,Away,UTA87-91MEM,0.456,36,79,0.444,4,9,0.938,15,16,41,10,31,22,6,2,10,20,91
DAL,2014-03-27,L,Home,LAC109-103DAL,0.468,37,79,0.500,10,20,0.704,19,27,43,11,32,21,12,4,18,21,103
LAC,2014-03-27,W,Away,DAL103-109LAC,0.463,38,82,0.423,11,26,0.880,22,25,41,13,28,22,10,3,20,24,109
LAL,2014-03-27,L,Away,MIL108-105LAL,0.494,42,85,0.333,7,21,0.778,14,18,38,13,25,23,10,1,20,24,105
MIL,2014-03-27,W,Home,LAL105-108MIL,0.557,39,70,0.600,6,10,0.706,24,34,33,9,24,15,9,8,19,21,108
POR,2014-03-27,W,Away,ATL85-100POR,0.463,37,80,0.385,10,26,0.762,16,21,47,13,34,24,4,5,13,20,100
HOU,2014-03-27,W,Home,PHI98-120HOU,0.489,44,90,0.346,9,26,0.676,23,34,57,17,40,27,13,6,20,22,120
PHI,2014-03-27,L,Away,HOU120-98PHI,0.389,35,90,0.389,14,36,0.636,14,22,39,14,25,23,9,5,22,26,98
ATL,2014-03-27,L,Home,POR100-85ATL,0.405,34,84,0.182,4,22,0.765,13,17,39,10,29,17,6,1,13,19,85
NOP,2014-03-28,W,Home,UTA95-102NOP,0.507,36,71,0.429,6,14,0.750,24,32,37,11,26,26,9,8,14,25,102
UTA,2014-03-28,L,Away,NOP102-95UTA,0.485,33,68,0.333,7,21,0.815,22,27,31,6,25,26,8,5,19,28,95
OKC,2014-03-28,W,Home,SAC81-94OKC,0.478,33,69,0.391,9,23,0.760,19,25,38,3,35,26,8,8,14,22,94
SAC,2014-03-28,L,Away,OKC94-81SAC,0.365,31,85,0.500,9,18,0.625,10,16,49,17,32,17,6,1,17,22,81
TOR,2014-03-28,W,Home,BOS103-105TOR,0.465,40,86,0.250,5,20,0.909,20,22,36,12,24,23,10,5,11,18,105
BOS,2014-03-28,L,Away,TOR105-103BOS,0.526,40,76,0.333,6,18,0.850,17,20,34,8,26,22,7,2,16,21,103
WAS,2014-03-28,W,Home,IND78-91WAS,0.391,34,87,0.304,7,23,0.941,16,17,43,12,31,20,6,4,10,21,91
IND,2014-03-28,L,Away,WAS91-78IND,0.354,28,79,0.154,2,13,0.800,20,25,48,13,35,13,5,9,17,19,78
MIN,2014-03-28,W,Home,LAL107-143MIN,0.671,51,76,0.444,8,18,0.825,33,40,49,9,40,33,6,2,21,14,143
LAL,2014-03-28,L,Away,MIN143-107LAL,0.431,44,102,0.280,7,25,0.800,12,15,26,14,12,22,15,2,8,30,107
SAS,2014-03-28,W,Away,DEN102-133SAS,0.561,55,98,0.542,13,24,0.714,10,14,51,11,40,37,6,10,14,25,133
ORL,2014-03-28,W,Home,CHA105-110ORL,0.448,39,87,0.333,6,18,0.743,26,35,57,19,38,17,6,6,19,14,110
CHA,2014-03-28,L,Away,ORL110-105CHA,0.443,43,97,0.364,8,22,0.786,11,14,36,9,27,24,7,7,10,22,105
DEN,2014-03-28,L,Home,SAS133-102DEN,0.402,35,87,0.261,6,23,0.743,26,35,41,10,31,15,7,8,12,19,102
GSW,2014-03-28,W,Home,MEM93-100GSW,0.494,40,81,0.450,9,20,0.786,11,14,43,10,33,22,5,6,12,14,100
MEM,2014-03-28,L,Away,GSW100-93MEM,0.506,41,81,0.167,2,12,0.563,9,16,33,9,24,24,9,4,9,15,93
POR,2014-03-28,W,Away,CHI74-91POR,0.438,35,80,0.455,10,22,0.688,11,16,47,10,37,19,8,7,10,14,91
