Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
SAS,2016-04-08,L,Away,DEN102-98SAS,0.424,36,85,0.214,3,14,0.821,23,28,45,8,37,20,6,8,10,12,98
DAL,2016-04-08,W,Home,MEM93-103DAL,0.500,30,60,0.387,12,31,0.795,31,39,38,6,32,18,7,6,19,17,103
MEM,2016-04-08,L,Away,DAL103-93MEM,0.402,35,87,0.318,7,22,0.727,16,22,42,15,27,17,9,1,15,33,93
LAC,2016-04-08,W,Away,UTA99-102LAC,0.446,37,83,0.448,13,29,0.789,15,19,44,8,36,16,13,3,14,20,102
MIA,2016-04-08,L,Away,ORL112-109MIA,0.450,45,100,0.364,8,22,0.524,11,21,53,23,30,18,6,5,13,23,109
ORL,2016-04-08,W,Home,MIA109-112ORL,0.524,43,82,0.455,5,11,0.750,21,28,37,6,31,23,4,9,11,19,112
DET,2016-04-08,W,Home,WAS99-112DET,0.468,36,77,0.438,14,32,0.897,26,29,44,7,37,17,5,2,13,18,112
WAS,2016-04-08,L,Away,DET112-99WAS,0.442,38,86,0.316,6,19,0.739,17,23,36,11,25,19,5,1,12,23,99
MIL,2016-04-08,L,Away,BOS124-109MIL,0.488,41,84,0.412,7,17,0.690,20,29,38,7,31,30,10,5,21,27,109
BOS,2016-04-08,W,Home,MIL109-124BOS,0.564,44,78,0.429,6,14,0.789,30,38,34,4,30,35,6,9,15,23,124
NYK,2016-04-08,W,Away,PHI102-109NYK,0.473,43,91,0.250,4,16,0.633,19,30,59,12,47,19,6,8,10,23,109
PHI,2016-04-08,L,Home,NYK109-102PHI,0.352,32,91,0.378,14,37,0.667,24,36,46,15,31,25,7,5,9,20,102
UTA,2016-04-08,L,Home,LAC102-99UTA,0.439,36,82,0.355,11,31,0.696,16,23,47,9,38,14,7,6,18,15,99
BOS,2016-04-09,L,Away,ATL118-107BOS,0.444,40,90,0.393,11,28,0.667,16,24,40,10,30,26,10,6,15,21,107
PHX,2016-04-09,W,Away,NOP100-121PHX,0.518,43,83,0.400,10,25,0.806,25,31,53,11,42,27,6,8,17,25,121
NOP,2016-04-09,L,Home,PHX121-100NOP,0.411,39,95,0.333,7,21,0.750,15,20,42,13,29,19,8,2,11,26,100
GSW,2016-04-09,W,Away,MEM99-100GSW,0.448,39,87,0.278,10,36,0.923,12,13,48,7,41,20,3,7,11,14,100
MEM,2016-04-09,L,Home,GSW100-99MEM,0.385,37,96,0.333,7,21,0.900,18,20,54,17,37,19,8,4,7,16,99
SAC,2016-04-09,W,Home,OKC112-114SAC,0.479,45,94,0.406,13,32,0.550,11,20,40,16,24,22,12,4,11,23,114
MIN,2016-04-09,W,Away,POR105-106MIN,0.488,41,84,0.385,5,13,0.760,19,25,37,13,24,24,8,7,11,18,106
ATL,2016-04-09,W,Home,BOS107-118ATL,0.523,46,88,0.515,17,33,0.818,9,11,44,5,39,31,10,10,18,22,118
POR,2016-04-09,L,Home,MIN106-105POR,0.500,40,80,0.375,9,24,0.889,16,18,37,11,26,19,2,4,19,20,105
CLE,2016-04-09,L,Away,CHI105-102CLE,0.434,36,83,0.475,19,40,0.611,11,18,42,12,30,24,5,5,16,18,102
CHI,2016-04-09,W,Home,CLE102-105CHI,0.449,40,89,0.333,8,24,0.810,17,21,45,13,32,19,8,6,12,22,105
OKC,2016-04-09,L,Away,SAC114-112OKC,0.481,39,81,0.406,13,32,0.750,21,28,44,13,31,24,6,5,21,25,112
DAL,2016-04-10,L,Away,LAC98-91DAL,0.405,30,74,0.267,8,30,0.697,23,33,47,5,42,18,6,5,16,29,91
IND,2016-04-10,W,Home,BKN105-129IND,0.558,48,86,0.407,11,27,0.815,22,27,58,14,44,34,10,4,20,22,129
LAC,2016-04-10,W,Home,DAL91-98LAC,0.487,37,76,0.500,9,18,0.405,15,37,42,6,36,25,11,6,11,20,98
DEN,2016-04-10,L,Home,UTA100-84DEN,0.400,32,80,0.222,6,27,0.737,14,19,41,6,35,18,6,7,12,19,84
CHA,2016-04-10,L,Away,WAS113-98CHA,0.346,28,81,0.364,12,33,0.857,30,35,46,9,37,21,7,2,15,25,98
WAS,2016-04-10,W,Home,CHA98-113WAS,0.525,42,80,0.429,9,21,0.714,20,28,48,4,44,27,8,5,12,23,113
UTA,2016-04-10,W,Away,DEN84-100UTA,0.456,36,79,0.387,12,31,0.762,16,21,49,11,38,19,7,8,12,14,100
ORL,2016-04-10,L,Away,MIA118-96ORL,0.446,37,83,0.389,7,18,0.789,15,19,35,6,29,18,6,1,16,18,96
BKN,2016-04-10,L,Away,IND129-105BKN,0.385,35,91,0.378,14,37,0.808,21,26,36,11,25,24,12,4,15,21,105
HOU,2016-04-10,W,Home,LAL110-130HOU,0.510,50,98,0.415,17,41,0.722,13,18,48,16,32,30,11,5,14,15,130
LAL,2016-04-10,L,Away,HOU130-110LAL,0.494,41,83,0.429,12,28,0.842,16,19,40,7,33,25,10,3,21,15,110
NYK,2016-04-10,L,Home,TOR93-89NYK,0.360,32,89,0.350,7,20,0.857,18,21,47,13,34,14,4,3,9,15,89
TOR,2016-04-10,W,Away,NYK89-93TOR,0.474,37,78,0.350,7,20,0.632,12,19,38,7,31,19,4,6,7,19,93
SAS,2016-04-10,L,Home,GSW92-86SAS,0.378,34,90,0.176,3,17,0.789,15,19,53,18,35,21,10,5,12,18,86
GSW,2016-04-10,W,Away,SAS86-92GSW,0.442,34,77,0.370,10,27,0.778,14,18,46,7,39,19,7,6,13,18,92
PHI,2016-04-10,L,Home,MIL109-108PHI,0.406,39,96,0.283,13,46,0.680,17,25,45,13,32,24,12,6,15,19,108
MIL,2016-04-10,W,Away,PHI108-109MIL,0.460,40,87,0.304,7,23,0.917,22,24,53,8,45,26,10,8,20,19,109
MIA,2016-04-10,W,Home,ORL96-118MIA,0.558,43,77,0.300,6,20,0.867,26,30,41,4,37,28,10,3,12,16,118
DAL,2016-04-11,W,Away,UTA92-101DAL,0.444,36,81,0.344,11,32,0.818,18,22,47,10,37,19,7,2,9,15,101
MIN,2016-04-11,L,Home,HOU129-105MIN,0.458,38,83,0.238,5,21,0.727,24,33,40,10,30,25,12,3,14,20,105
HOU,2016-04-11,W,Away,MIN105-129HOU,0.558,48,86,0.500,15,30,0.692,18,26,43,8,35,28,12,5,18,23,129
CHI,2016-04-11,W,Away,NOP116-121CHI,0.571,44,77,0.435,10,23,0.885,23,26,35,5,30,29,5,3,9,20,121
OKC,2016-04-11,W,Home,LAL79-112OKC,0.438,42,96,0.324,12,37,0.593,16,27,57,13,44,27,8,11,12,20,112
NOP,2016-04-11,L,Home,CHI121-116NOP,0.513,41,80,0.462,12,26,0.786,22,28,33,10,23,28,8,2,10,23,116
LAL,2016-04-11,L,Away,OKC112-79LAL,0.284,23,81,0.226,7,31,0.867,26,30,48,10,38,15,8,1,15,20,79
UTA,2016-04-11,L,Home,DAL101-92UTA,0.455,35,77,0.273,9,33,0.722,13,18,38,6,32,21,5,3,10,16,92
BKN,2016-04-11,L,Home,WAS120-111BKN,0.449,44,98,0.323,10,31,0.619,13,21,43,13,30,24,9,9,10,16,111
ORL,2016-04-11,W,Home,MIL98-107ORL,0.488,41,84,0.304,7,23,0.643,18,28,36,12,24,28,19,10,10,15,107
WAS,2016-04-11,W,Away,BKN111-120WAS,0.517,46,89,0.360,9,25,0.792,19,24,47,9,38,27,8,1,14,18,120
CLE,2016-04-11,W,Home,ATL94-109CLE,0.482,40,83,0.379,11,29,0.900,18,20,47,9,38,17,9,4,15,14,109
ATL,2016-04-11,L,Away,CLE109-94ATL,0.448,39,87,0.267,8,30,0.533,8,15,42,10,32,23,8,6,15,18,94
PHX,2016-04-11,L,Home,SAC105-101PHX,0.410,41,100,0.227,5,22,0.824,14,17,51,17,34,21,8,3,19,25,101
SAC,2016-04-11,W,Away,PHX101-105SAC,0.494,41,83,0.353,6,17,0.607,17,28,40,4,36,25,11,12,19,19,105
BOS,2016-04-11,L,Home,CHA114-100BOS,0.382,34,89,0.333,8,24,0.828,24,29,46,13,33,17,6,1,12,17,100
CHA,2016-04-11,W,Away,BOS100-114CHA,0.506,41,81,0.438,14,32,0.818,18,22,44,7,37,23,10,7,14,20,114
MIL,2016-04-11,L,Away,ORL107-98MIL,0.526,41,78,0.200,3,15,0.684,13,19,45,13,32,18,6,7,23,20,98
TOR,2016-04-12,W,Home,PHI98-122TOR,0.505,48,95,0.400,10,25,0.842,16,19,52,16,36,25,11,5,14,20,122
PHI,2016-04-12,L,Away,TOR122-98PHI,0.455,35,77,0.429,15,35,0.520,13,25,32,7,25,24,8,6,14,18,98
IND,2016-04-12,W,Home,NYK90-102IND,0.513,41,80,0.316,6,19,0.700,14,20,41,8,33,26,10,3,14,10,102
LAC,2016-04-12,W,Home,MEM84-110LAC,0.547,41,75,0.480,12,25,0.762,16,21,41,8,33,29,11,7,11,19,110
NYK,2016-04-12,L,Away,IND102-90NYK,0.450,36,80,0.370,10,27,0.889,8,9,37,8,29,27,6,8,16,17,90
MIA,2016-04-12,W,Away,DET93-99MIA,0.487,38,78,0.350,7,20,0.727,16,22,39,8,31,15,7,5,15,21,99
DET,2016-04-12,L,Home,MIA99-93DET,0.405,34,84,0.278,5,18,0.667,20,30,48,18,30,15,9,4,16,17,93
