Team_A,Date_A,W/L_A,Home/Away_A,Score_A,FG%_A,FGM_A,FGA_A,3P%_A,3PM_A,3PA_A,FT%_A,FTM_A,FTA_A,REB_A,OREB_A,DREB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,Opponent_A,Team_B,Date_B,W/L_B,Home/Away_B,Score_B,FG%_B,FGM_B,FGA_B,3P%_B,3PM_B,3PA_B,FT%_B,FTM_B,FTA_B,REB_B,OREB_B,DREB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,Opponent_B
OKC,2018-04-11,1,1,MEM123-137OKC,0.553,47,85,0.465,20,43,0.719,23,32,45,8,37,32,8,3,14,23,137,MEM,MEM,2018-04-11,0,0,OKC137-123MEM,0.484,44,91,0.419,13,31,0.917,22,24,41,9,32,22,9,2,13,22,123,OKC
DEN,2018-04-11,0,0,MIN112-106DEN,0.456,41,90,0.406,13,32,0.611,11,18,47,10,37,19,4,4,15,22,106,MIN,MIN,2018-04-11,1,1,DEN106-112MIN,0.472,42,89,0.391,9,23,0.760,19,25,40,8,32,24,10,2,8,19,112,DEN
WAS,2018-04-11,0,0,ORL101-92WAS,0.347,33,95,0.294,10,34,0.593,16,27,50,18,32,17,5,1,12,25,92,ORL,ORL,2018-04-11,1,1,WAS92-101ORL,0.429,33,77,0.406,13,32,0.815,22,27,42,6,36,20,6,7,16,27,101,WAS
MIN,2018-04-11,1,1,DEN106-112MIN,0.472,42,89,0.391,9,23,0.760,19,25,40,8,32,24,10,2,8,19,112,DEN,DEN,2018-04-11,0,0,MIN112-106DEN,0.456,41,90,0.406,13,32,0.611,11,18,47,10,37,19,4,4,15,22,106,MIN
LAL,2018-04-11,1,0,LAC100-115LAL,0.477,42,88,0.436,17,39,0.875,14,16,49,10,39,25,8,6,17,23,115,LAC,LAC,2018-04-11,0,1,LAL115-100LAC,0.494,41,83,0.333,6,18,0.429,12,28,41,8,33,27,8,1,17,17,100,LAL
LAC,2018-04-11,0,1,LAL115-100LAC,0.494,41,83,0.333,6,18,0.429,12,28,41,8,33,27,8,1,17,17,100,LAL,LAL,2018-04-11,1,0,LAC100-115LAL,0.477,42,88,0.436,17,39,0.875,14,16,49,10,39,25,8,6,17,23,115,LAC
POR,2018-04-11,1,1,UTA93-102POR,0.461,41,89,0.375,9,24,0.688,11,16,46,7,39,19,9,9,10,22,102,UTA,UTA,2018-04-11,0,0,POR102-93UTA,0.371,33,89,0.348,8,23,0.792,19,24,53,14,39,18,5,7,15,19,93,POR
HOU,2018-04-11,0,0,SAC96-83HOU,0.378,31,82,0.283,13,46,0.667,8,12,40,8,32,11,2,6,14,24,83,SAC,SAC,2018-04-11,1,1,HOU83-96SAC,0.475,38,80,0.269,7,26,0.650,13,20,48,6,42,22,6,3,11,14,96,HOU
ORL,2018-04-11,1,1,WAS92-101ORL,0.429,33,77,0.406,13,32,0.815,22,27,42,6,36,20,6,7,16,27,101,WAS,WAS,2018-04-11,0,0,ORL101-92WAS,0.347,33,95,0.294,10,34,0.593,16,27,50,18,32,17,5,1,12,25,92,ORL
MIA,2018-04-14,0,0,PHI130-103MIA,0.455,35,77,0.462,12,26,0.677,21,31,41,9,32,25,4,6,18,25,103,PHI,PHI,2018-04-14,1,1,MIA103-130PHI,0.474,45,95,0.643,18,28,0.759,22,29,50,17,33,34,9,4,11,23,130,MIA
